Key,Museum,Site,Type
BM118218_C20,British Museum,Nimrud,head
BM118252_C18,British Museum,Nimrud,head
BM118219_C16,British Museum,Nimrud,head
BM7637,British Museum,Nimrud,woman at the window
BM9433,British Museum,Nimrud,woman at the window
BM10724,British Museum,Nimrud,head
BM9619,British Museum,Nimrud,head
BM7781,British Museum,Nimrud,woman at the window
BM7874,British Museum,Nimrud,woman at the window
BM8015,British Museum,Nimrud,woman at the window
BM9736,British Museum,Nimrud,head
BM9103,British Museum,Nimrud,face
BM9394,British Museum,Nimrud,head
BM8007,British Museum,Nimrud,head
BM9491,British Museum,Nimrud,sphinx
BM10495,British Museum,Nimrud,sphinx
BM9364,British Museum,Nimrud,full-length figure
BM8000,British Museum,Nimrud,full-length figure
BM10663,British Museum,Nimrud,full-length figure
BM9430,British Museum,Nimrud,full-length figure
BM9197,British Museum,Nimrud,full-length figure
BM9760,British Museum,Nimrud,sphinx
BM7995,British Museum,Nimrud,sphinx
BM10477,British Museum,Nimrud,sphinx
BM9733,British Museum,Nimrud,full-length figure
BM118251_C17,British Museum,Nimrud,head
BM9199,British Museum,Nimrud,full-length figure
BM6355,British Museum,Nimrud,head
BM7774,British Museum,Nimrud,head
BM7676,British Museum,Nimrud,sphinx
BM123772_C21,British Museum,Nimrud,head
1956A488Bham,Birmingham City Museum and Art Gallery (UK),Nimrud,head
BM126693_S231,British Museum,Nimrud,body fragment
BM126694_S232,British Museum,Nimrud,body fragment
BM126695_S233,British Museum,Nimrud,body fragment
BM10511Hanover_RtFig,British Museum,Nimrud,full-length figure
BM10511HanoverLftFig,British Museum,Nimrud,full-length figure
BM10719,British Museum,Nimrud,full-length figure
BM126686_S224,British Museum,Nimrud,full-length figure
BM118256_S235,British Museum,Nimrud,body fragment
BM126696_S234_Fig1,British Museum,Nimrud,backtobackBody
72_40Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,full-length figure
72_41Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,full-length figure
72_39Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,full-length figure
72_35Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,head
72_34Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,woman at the window
72_36Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,head
72_51Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,head
72_523Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,woman at the window
72_32Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,woman at the window
72_33Kruh,Badisches Landesmuseum, Karlsruhe ,ArslanTash,woman at the window
1956A489Bham,Birmingham City Museum and Art Gallery (UK),Nimrud,head
1965.A451Bham,Birmingham City Museum and Art Gallery (UK),Nimrud,woman at the window
1962.306Ash,Ashmolean Museum, Oxford,Nimrud,sphinx
1959.2Cambr,Fitzwilliam Museum, Cambridge,Nimrud,genie
1957.220Ash,Ashmolean Museum, Oxford,Nimrud,full-length figure
1966.3Manchester,Manchester Museum (UK),Nimrud,head
A22167Chic,Oriental Institute, University of Chcago,Khorsabad,full-length figure
65.923Bost,Boston Museum of Fine Arts,Nimrud,full-length figure
65.924Bost,Boston Museum of Fine Arts,Nimrud,sphinx
A22165Chic,Oriental Institute, University of Chcago,Khorsabad,woman at the window
A22163Chic,Oriental Institute, University of Chcago,Khorsabad,woman at the window
A22162Chic,Oriental Institute, University of Chcago,Khorsabad,woman at the window
A22164Chic,Oriental Institute, University of Chcago,Khorsabad,woman at the window
A22170Chic,Oriental Institute, University of Chcago,Khorsabad,sphinx
A22172Chic,Oriental Institute, University of Chcago,Khorsabad,sphinx
A22166Chic,Oriental Institute, University of Chcago,Khorsabad,woman at the window
65.926Bost,Boston Museum of Fine Arts,Nimrud,face
1962.7Ash,Ashmolean Museum, Oxford,Nimrud,face
A22276Chic,Oriental Institute, University of Chcago,Megiddo,head
A22257Chic,Oriental Institute, University of Chcago,Megiddo,full-length figure
BM118250_C19,British Museum,Nimrud,head
BM118155_C13,British Museum,Nimrud,woman at the window
BM118247_S26,British Museum,Nimrud,full-length figure
BM126521_S20,British Museum,Nimrud,full-length figure
BM118264_S47,British Museum,Nimrud,full-length figure
BM126590_S92,British Museum,Nimrud,full-length figure
BM118227_C39,British Museum,Nimrud,face
BM118222_C41,British Museum,Nimrud,face
BM123771_C40,British Museum,Nimrud,head
BM118226_S97,British Museum,Nimrud,head
MB118263_S316,British Museum,Nimrud,head
BM126596e_S100i,British Museum,Nimrud,head
BM126596b_S100e,British Museum,Nimrud,face
BM126668_S179a,British Museum,Nimrud,head
BM126668_S179b,British Museum,Nimrud,head
BM126667_S176,British Museum,Nimrud,head
BM118235_S177,British Museum,Nimrud,head
BM118234_S172,British Museum,Nimrud,head
BM118233_S173,British Museum,Nimrud,head
BM126666_S175,British Museum,Nimrud,head
BM118186_S186,British Museum,Nimrud,head
BM118216_S185,British Museum,Nimrud,head
BM126838_S188b,British Museum,Nimrud,head
BM127055_S187,British Museum,Nimrud,head
BM118220_S184,British Museum,Nimrud,head
BM126838_S188a,British Museum,Nimrud,head
BM118238_S174,British Museum,Nimrud,head
BM118257_S195a,British Museum,Nimrud,head
BM116674a_S203a-b,British Museum,Nimrud,head
BM116674b_S203a-b,British Museum,Nimrud,head
BM126963_S192,British Museum,Nimrud,head
BM118237_S193,British Museum,Nimrud,head
AO11459_Louvre,Louvre,ArslanTash,woman at the window
AO11461_Louvre,Louvre,ArslanTash,woman at the window
A011464_Louvre,Louvre,ArslanTash,woman at the window
A011462_Louvre,Louvre,ArslanTash,head
AO11460_Louvre,Louvre,ArslanTash,woman at the window
A011474_Louvre,Louvre,ArslanTash,full-length figure
AO11471_Louvre,Louvre,ArslanTash,full-length figure
AO11478_Louvre,Louvre,ArslanTash,sphinx
A011463_Louvre,Louvre,ArslanTash,head
57.80.12_Met,Metropolitan Museum of Art, New York,ArslanTash,woman at the window
57.80.10_Met,Metropolitan Museum of Art, New York,ArslanTash,full-length figure
57.80.11_Met,Metropolitan Museum of Art, New York,ArslanTash,woman at the window
57.80.13_Met,Metropolitan Museum of Art, New York,Nimrud,woman at the window
59.107.10_Met,Metropolitan Museum of Art, New York,Nimrud,full-length figure
59.107.18_Met,Metropolitan Museum of Art, New York,Nimrud,woman at the window
54.117.2_Met_UglySis,Metropolitan Museum of Art, New York,Nimrud,head
52.23.2Fig1_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
52.23.2_Fig2_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
52.23.2._Fig3_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
52.23.2_Fig4_Met,Metropolitan Museum of Art, New York,Nimrud,backtobackBody
61.197.5_Met,Metropolitan Museum of Art, New York,Nimrud,full-length figure
54.117.8_Met,Metropolitan Museum of Art, New York,Nimrud,head
52.23.3_Met,Metropolitan Museum of Art, New York,Nimrud,head
64.37.1_Met,Metropolitan Museum of Art, New York,Nimrud,sphinx
57.80.4a_Met,Metropolitan Museum of Art, New York,Nimrud,sphinx
62.269.6_Met,Metropolitan Museum of Art, New York,Nimrud,full-length figure
58.31.2_Met,Metropolitan Museum of Art, New York,Nimrud,full-length figure
59.107.7_Met,Metropolitan Museum of Art, New York,Nimrud,genie
BM118198_S197,British Museum,Nimrud,head
BM118208_S334p,British Museum,Nimrud,head
BM118228_U6_plLXXI,British Museum,SharifKhan,head
BM118158_C15,British Museum,Nimrud,woman at the window
BM118159_C12,British Museum,Nimrud,woman at the window
BM118200_S180,British Museum,Nimrud,head
BM118217_T5,British Museum,Nineveh,head
BM118236_S212_Fig1full,British Museum,Nimrud,backtobackHead
BM118236_S212_Fig2frg,British Museum,Nimrud,head
118192_S204a,British Museum,Nimrud,head
118192_S204b,British Museum,Nimrud,head
BM118230_S181,British Museum,Nimrud,head
BM118232_S183,British Museum,Nimrud,head
BM118193_S198,British Museum,Nimrud,head
BM118242_S195b,British Museum,Nimrud,head
BM118171_S196,British Museum,Nimrud,head
BM118203_S190,British Museum,Nimrud,head
BM118202_S194,British Museum,Nimrud,head
BM118206_S191a,British Museum,Nimrud,head
BM118181_S182,British Museum,Nimrud,head
BM118229_U7,British Museum,SharifKhan,head
BM118231_S213_fig1,British Museum,Nimrud,backtobackHead
BM118270_S226,British Museum,Nimrud,full-length figure
BM126688_S227,British Museum,Nimrud,body fragment
BM126942_S228,British Museum,Nimrud,body fragment
BM126691_S229,British Museum,Nimrud,body fragment
BM9939_T6,British Museum,Nineveh,full-length figure
BM126817_S334m,British Museum,Nimrud,head
BM127054_S189,British Museum,Nimrud,head
BM118254_S334n,British Museum,Nimrud,head
BM118208_S334o,British Museum,Nimrud,head
BM123809_S350,British Museum,Nimrud,head
BM118104_S146,British Museum,Nimrud,full-length figure
BM126675_S208a-b,British Museum,Nimrud,full-length figure
BM118253_S294fig1_WoNoNose,British Museum,Nimrud,backtobackBody
BM118253_S294fig2_WoWNose,British Museum,Nimrud,backtobackBody
BM118253_S294fig3_Man,British Museum,Nimrud,backtobackBody
BM118253_S294fig4_Man,British Museum,Nimrud,backtobackBody
BM118197_S207_fig1,British Museum,Nimrud,backtobackBody
BM118197_S207_fig2,British Museum,Nimrud,backtobackBody
BM126682_S220,British Museum,Nimrud,full-length figure
BM126681_S219,British Museum,Nimrud,full-length figure
BM126679_S217_Fig1,British Museum,Nimrud,backtobackBody
BM127165_S214fig1AnkRest,British Museum,Nimrud,backtobackBody
BM127165_S214fig2,British Museum,Nimrud,backtobackBody
BM126685_S223_fig1,British Museum,Nimrud,backtobackBody
BM126685_S223_fig2,British Museum,Nimrud,backtobackBody
BM126687_S225_fig1,British Museum,Nimrud,backtobackBody
BM126687_S225_fig2,British Museum,Nimrud,backtobackBody
BM126787_S308_fig1,British Museum,Nimrud,backtobackBody
BM126787_S308_fig2,British Museum,Nimrud,backtobackBody
BM118194_S205Fig1,British Museum,Nimrud,backtobackHead
BM126675_S206_fig1Dark,British Museum,Nimrud,backtobackBody
BM126675_S206_fig2Light,British Museum,Nimrud,backtobackBody
BM118102_S210_fig1WhtnBl,British Museum,Nimrud,backtobackBody
BM118102_S210_fig2Grey,British Museum,Nimrud,backtobackBody
BM126683_S221_fig1,British Museum,Nimrud,backtobackBody
BM126683_S221_fig2,British Museum,Nimrud,backtobackBody
BM126676_S209a-b,British Museum,Nimrud,full-length figure
BM118224_S150b,British Museum,Nimrud,full-length figure
BM126824_S336c,British Museum,Nimrud,full-length figure
BM126823_S336f,British Museum,Nimrud,full-length figure
BM126677_S215,British Museum,Nimrud,full-length figure
BM126680_S218,British Museum,Nimrud,full-length figure
BM126593_S96,British Museum,Nimrud,full-length figure
BM126678_S216,British Museum,Nimrud,full-length figure
BM92234_StoneHd,British Museum,Nimrud,head
BM92233_StoneHd,British Museum,Nimrud,head
BM139615_StoneHd,British Museum,Nimrud,head
Aleppo1,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo2,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo3,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo4,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo5,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo6,Aleppo Museum, Syria,ArslanTash,head
Aleppo7,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo8,Aleppo Museum, Syria,ArslanTash,woman at the window
Aleppo9,Aleppo Museum, Syria,ArslanTash,sphinx
Aleppo10,Aleppo Museum, Syria,ArslanTash,full-length figure
